source,dataset,subject_key,bytes,fps,frames,duration_seconds,pose_dimensions,screen_hz,max_seated_seconds,max_low_speed_seated_seconds,complete_transition_proxies,sha256,split,group_key
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A1 - Stand_poses.npz,ACCAD,ACCAD/Female1General_c3d,482496,120.0,360,3.0,156,10.0,0,0,0,ca90cc075c1182b91c0840c3285f5088c943bff21bf9fba3d6076c69a4c79208,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A10 - lie to crouch_poses.npz,ACCAD,ACCAD/Female1General_c3d,701600,120.0,524,4.366666666666666,156,10.0,0,0,0,8c914e35c0dc25f2233e159a6df8844f9ded4e918943c7e29553e2946a1e3c9d,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A11 - crawl forward_poses.npz,ACCAD,ACCAD/Female1General_c3d,3206600,120.0,2399,19.991666666666667,156,10.0,0,0,0,3a0da55b8c14c931a13adf3df6cef9ddb7a8c7b5e9e04f3bc0f240590fd63f61,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A12 - crawl backwards_poses.npz,ACCAD,ACCAD/Female1General_c3d,3537928,120.0,2647,22.058333333333334,156,10.0,0,0,0,f019200c187dc6805e8f466c38a9ce7e32fcad07ace634962748d71e358327ca,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A14 - stand to skip_poses.npz,ACCAD,ACCAD/Female1General_c3d,827184,120.0,618,5.15,156,10.0,0,0,0,dcf5df3382315f5e180bea4baec4a76a0ffe718840f6952e6c52dc1a3a98743b,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A15 - skip to stand_poses.npz,ACCAD,ACCAD/Female1General_c3d,684232,120.0,511,4.258333333333334,156,10.0,0,0,0,772b0b8d508a9f89c81f40ec85899ec3dd1de16644e73c1bca9e959a5d3a6a58,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A2 - Sway t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,2558640,120.0,1914,15.95,156,10.0,0,0,0,c1d7aecfb2a1567ae19d9cbc3d00625dfa60b1da76dd5910971eebbd6adfc0a1,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A2 - Sway_poses.npz,ACCAD,ACCAD/Female1General_c3d,1929384,120.0,1443,12.025,156,10.0,0,0,0,1804e0dd6bfd8fffb2bc56600940d414fee711f8bed3188cabadad3360d351aa,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A3 - Swing t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,1306808,120.0,977,8.141666666666667,156,10.0,0,0,0,25e6d327f0301d586260fd19a36ac6b0ff9aa835c4cf235844713b7f84461f07,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A3 - Swing_poses.npz,ACCAD,ACCAD/Female1General_c3d,2327512,120.0,1741,14.508333333333333,156,10.0,0,0,0,1a1dc080a75ed012e480d3b591599386a215067dd967c1b51e4f295a8aa1cb49,train,ACCAD_all_identity_aliases_train_only
