source,dataset,subject_key,bytes,fps,frames,duration_seconds,pose_dimensions,screen_hz,max_seated_seconds,max_low_speed_seated_seconds,complete_transition_proxies
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A1 - Stand_poses.npz,ACCAD,ACCAD/Female1General_c3d,482496,120.0,360,3.0,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A10 - lie to crouch_poses.npz,ACCAD,ACCAD/Female1General_c3d,701600,120.0,524,4.366666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A11 - crawl forward_poses.npz,ACCAD,ACCAD/Female1General_c3d,3206600,120.0,2399,19.991666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A12 - crawl backwards_poses.npz,ACCAD,ACCAD/Female1General_c3d,3537928,120.0,2647,22.058333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A14 - stand to skip_poses.npz,ACCAD,ACCAD/Female1General_c3d,827184,120.0,618,5.15,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A15 - skip to stand_poses.npz,ACCAD,ACCAD/Female1General_c3d,684232,120.0,511,4.258333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A2 - Sway t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,2558640,120.0,1914,15.95,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A2 - Sway_poses.npz,ACCAD,ACCAD/Female1General_c3d,1929384,120.0,1443,12.025,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A3 - Swing t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,1306808,120.0,977,8.141666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A3 - Swing_poses.npz,ACCAD,ACCAD/Female1General_c3d,2327512,120.0,1741,14.508333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A4 - look_poses.npz,ACCAD,ACCAD/Female1General_c3d,3412344,120.0,2553,21.275,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A5 - pick up box_poses.npz,ACCAD,ACCAD/Female1General_c3d,1008880,120.0,754,6.283333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A6 - lift box_poses.npz,ACCAD,ACCAD/Female1General_c3d,1345552,120.0,1006,8.383333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A6- lift box t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,1135800,120.0,849,7.075,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A7 - crouch_poses.npz,ACCAD,ACCAD/Female1General_c3d,813824,120.0,608,5.066666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A8 - crouch to lie_poses.npz,ACCAD,ACCAD/Female1General_c3d,1034264,120.0,773,6.441666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A9 - lie t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,1265392,120.0,946,7.883333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D1 - Urban 1_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,2463784,120.0,1843,15.358333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D2 - Wait 1_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,6179200,120.0,4624,38.53333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,8132432,120.0,6086,50.71666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,2668192,120.0,1996,16.633333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D6- CartWheel_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,765728,120.0,572,4.766666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/Female1 Subj Calibration_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,482496,120.0,360,3.0,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C10 -  run backwards stop run forward_poses.npz,ACCAD,ACCAD/Female1Running_c3d,816496,120.0,610,5.083333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C11 -  run turn left (90)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,372944,120.0,278,2.316666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C13 -  run turn left (135)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,461120,120.0,344,2.8666666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C14 -  run turn right  (90)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,684232,120.0,511,4.258333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C15 -  run turn right  (45)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,340880,120.0,254,2.1166666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C16 -  run turn right  (135)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,376952,120.0,281,2.341666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C19 -  run to hop to walk_poses.npz,ACCAD,ACCAD/Female1Running_c3d,676216,120.0,505,4.208333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C2 - Run to stand_poses.npz,ACCAD,ACCAD/Female1Running_c3d,855240,120.0,639,5.325,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C20 -  run to jump to walk_poses.npz,ACCAD,ACCAD/Female1Running_c3d,642816,120.0,480,4.0,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C21 -  run to pick up box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,773744,120.0,578,4.816666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C21 s2 -  run to pick up box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,411688,120.0,307,2.558333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C22 -  run with box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,319504,120.0,238,1.9833333333333334,156,10.0,0,0,0
