source,source_sequence,sequence_index,split,region,start_frame,end_frame_exclusive,duration_seconds,max_speed_deg_s,annotation_status,pose_semantics
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s1_rom1,6,exploration_only_not_final_test,trunk,72,241,2.816666666666667,4.989461789556074,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s1_rom2,7,exploration_only_not_final_test,trunk,2337,2503,2.7666666666666666,4.8450113972253455,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s2_rom2,19,exploration_only_not_final_test,trunk,57,199,2.3666666666666667,4.208207304807226,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s2_rom2,19,exploration_only_not_final_test,lower_body,65,200,2.25,4.810318340471116,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s2_rom2,19,exploration_only_not_final_test,lower_body,1492,1630,2.3,4.812122085145478,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s3_rom1,30,exploration_only_not_final_test,trunk,43,239,3.2666666666666666,4.916385954798691,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s3_rom1,30,exploration_only_not_final_test,trunk,4703,4843,2.3333333333333335,4.622813369840249,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s3_rom1,30,exploration_only_not_final_test,lower_body,107,236,2.15,4.817140174644654,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s3_rom2,31,exploration_only_not_final_test,trunk,180,374,3.2333333333333334,4.699410261761396,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s3_rom3,32,exploration_only_not_final_test,trunk,45,167,2.033333333333333,4.992402822574977,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s5_rom3,43,exploration_only_not_final_test,trunk,1187,1307,2.0,4.202005720956973,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/PNP/data/test_datasets/totalcapture_officalib.pt,s5_rom3,43,exploration_only_not_final_test,trunk,1993,2121,2.1333333333333333,4.702701985047204,candidate_not_reviewed,unknown
